Age,Gender,Family_Income,Internet_Access,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Travel_Time_Minutes,Part_Time_Job,Scholarship,Stress_Index,GPA,CGPA,Dropout,Semester_Year 2,Semester_Year 3,Semester_Year 4,Department_Business,Department_CS,Department_Engineering,Department_Science,Parental_Education_High School,Parental_Education_Master,Parental_Education_PhD
22.1,1,25000.0,1,3.36,86.1,2,20.4,1,0,5.5,0.96,0.9,0,0,0,0,0,0,0,0,1,0,0
20.7,1,25000.0,1,4.3,68.0,2,44.0,0,0,6.8,1.28,1.19,1,0,1,0,0,0,1,0,0,0,0
22.4,1,40183.0,1,4.4,70.9,0,48.9,1,0,5.5,1.68,1.32,0,0,0,0,0,0,0,0,0,1,0
24.4,1,29740.5,1,4.0,82.2,2,38.6,0,0,5.5,1.78,1.77,1,0,0,0,0,1,0,0,1,0,0
20.5,0,25319.0,1,4.19,75.7,1,23.0,0,0,7.0,1.48,0.87,0,0,0,1,1,0,0,0,0,0,0
20.5,1,25000.0,1,4.11,89.1,2,47.1,0,1,6.0,2.52,2.69,0,0,1,0,1,0,0,0,0,0,0
24.5,1,25000.0,1,3.0,78.2,1,37.4,1,1,7.3,0.64,0.44,0,0,0,1,0,1,0,0,0,0,0
22.7,0,25000.0,1,2.12,86.4,1,34.0,0,1,6.5,1.79,1.14,0,0,0,0,0,0,0,0,1,0,0
20.0,1,57413.0,1,4.07,97.5,3,52.1,0,0,4.2,3.08,2.81,0,0,0,0,0,1,0,0,1,0,0
22.2,0,44930.0,1,2.98,82.2,1,19.7,0,0,6.7,1.59,1.73,0,0,0,0,0,0,0,1,0,1,0
20.0,0,25000.0,1,5.27,73.9,3,39.3,1,0,7.2,1.52,1.46,1,0,1,0,1,0,0,0,0,0,0
20.0,1,46056.0,1,2.37,85.2,6,20.2,1,1,8.0,0.0,0.15,1,1,0,0,0,0,1,0,0,0,0
21.5,0,50644.0,1,3.54,84.3,1,22.7,0,1,4.6,2.56,2.72,0,0,0,1,0,1,0,0,0,0,0
17.0,0,27000.0,1,4.2,84.0,1,61.2,0,1,4.8,2.68,2.7,0,0,0,0,1,0,0,0,0,0,0
17.2,1,29740.5,1,4.0,92.9,1,36.0,1,0,5.5,2.6,2.92,0,0,1,0,0,0,1,0,0,0,0
19.8,1,26246.0,0,3.49,72.5,2,52.2,0,0,7.0,2.81,3.15,0,0,0,0,0,0,0,0,0,1,0
18.8,0,28037.0,1,4.24,90.0,2,36.5,0,1,4.6,2.55,2.2,0,0,0,0,0,0,1,0,1,0,0
21.7,0,25000.0,1,4.8,77.2,0,34.8,1,1,4.3,1.99,1.78,0,0,0,1,1,0,0,0,0,1,0
19.0,0,37058.0,1,4.99,93.0,2,22.5,0,0,4.7,3.25,3.59,0,0,0,0,0,0,0,0,0,0,0
17.9,1,35168.0,1,4.48,65.0,1,41.7,0,0,5.6,1.71,1.63,1,0,0,0,1,0,0,0,0,0,0
24.2,0,38833.0,1,6.35,99.8,2,30.3,0,1,3.9,2.63,2.23,0,0,0,0,0,1,0,0,0,0,0
20.5,1,35149.0,1,3.48,79.8,0,31.0,1,0,6.3,2.09,2.0,0,0,1,0,0,0,0,0,0,1,0
21.1,0,46069.0,1,6.25,72.3,2,26.9,1,1,2.4,4.0,3.92,0,0,1,0,0,1,0,0,0,0,0
17.9,0,26700.0,1,4.9,89.3,3,28.8,0,1,4.0,3.14,3.04,0,0,0,1,1,0,0,0,0,0,0
19.8,0,33559.0,1,4.32,86.1,3,30.3,1,0,5.8,0.42,0.43,1,0,0,1,1,0,0,0,0,0,1
21.2,0,25000.0,1,4.42,85.6,2,31.5,0,0,3.8,3.47,3.66,0,1,0,0,0,1,0,0,0,1,0
18.5,0,25000.0,1,5.22,89.4,0,29.4,0,0,4.7,1.66,1.67,0,0,1,0,0,0,0,1,0,0,0
21.8,0,66367.0,1,3.07,82.3,4,11.3,0,0,5.3,1.01,0.82,0,0,1,0,0,1,0,0,1,0,0
19.7,1,25000.0,1,4.19,79.7,1,36.5,1,0,9.3,1.15,0.76,0,0,1,0,1,0,0,0,1,0,0
20.4,0,29740.5,0,4.0,72.7,3,28.5,0,0,5.5,2.78,3.03,0,0,0,0,0,1,0,0,1,0,0
19.7,0,25000.0,1,6.08,81.1,7,5.0,1,0,5.9,3.96,3.82,0,0,0,1,0,1,0,0,0,0,0
25.1,1,29740.5,1,4.0,77.9,3,10.9,0,1,5.5,2.56,2.48,1,0,1,0,0,0,0,1,0,0,0
21.0,1,34785.0,1,6.6,81.9,2,24.3,0,0,3.6,3.62,3.53,0,0,0,1,0,0,0,0,0,0,1
18.7,1,29740.5,1,4.0,67.9,1,45.3,1,1,5.5,1.64,1.65,0,0,1,0,0,0,0,0,0,0,0
22.8,0,25000.0,1,2.19,95.9,2,37.3,1,1,5.2,0.76,0.02,0,0,1,0,0,0,0,1,0,0,0
18.3,0,29740.5,1,4.0,61.0,1,21.8,0,1,5.5,0.81,0.97,1,0,1,0,0,0,0,0,0,0,0
21.5,1,26034.0,0,2.9,80.9,1,27.7,0,1,7.6,1.61,1.45,0,0,0,1,1,0,0,0,0,0,0
17.0,0,25000.0,1,6.16,78.5,0,43.3,0,0,4.7,3.66,3.42,0,1,0,0,0,0,0,1,1,0,0
18.1,1,77705.0,1,2.25,70.8,1,22.6,0,0,5.0,2.16,2.01,0,1,0,0,1,0,0,0,0,0,0
21.4,0,29740.5,1,4.0,85.0,3,17.0,1,0,5.5,3.1,3.55,0,1,0,0,1,0,0,0,0,1,0
22.6,1,25000.0,0,5.91,74.5,2,40.6,0,0,5.6,2.29,2.35,0,1,0,0,0,0,1,0,0,0,0
21.4,1,41216.0,1,7.6,85.0,1,43.4,1,1,4.4,1.62,1.69,0,0,0,0,1,0,0,0,1,0,0
20.7,1,49772.0,1,3.86,95.6,6,22.7,0,1,6.7,2.34,2.71,0,0,0,0,1,0,0,0,0,0,0
20.3,1,41183.0,1,4.15,72.1,2,35.9,1,1,8.4,2.32,2.82,1,0,1,0,1,0,0,0,1,0,0
17.7,0,25000.0,1,2.48,89.0,1,29.5,0,1,7.4,0.63,0.5,0,0,0,1,0,0,1,0,0,1,0
19.4,0,25682.0,1,3.51,69.7,2,22.9,0,0,7.9,1.58,1.43,0,0,0,0,1,0,0,0,0,1,0
20.0,1,25000.0,1,6.84,75.6,1,44.0,1,0,5.2,3.36,3.66,0,0,0,1,1,0,0,0,0,0,0
23.3,1,25000.0,1,5.13,86.5,1,22.0,1,0,3.6,4.0,4.0,0,0,0,1,0,1,0,0,0,0,0
21.8,1,25000.0,1,5.58,79.8,2,39.1,1,0,1.9,4.0,3.77,0,1,0,0,1,0,0,0,0,0,0
17.1,0,27754.0,1,4.84,93.6,3,30.8,0,0,1.8,2.8,3.38,0,0,0,0,0,0,1,0,1,0,0
21.7,0,25000.0,1,5.39,83.0,1,27.9,1,0,5.1,4.0,3.94,0,0,0,1,0,1,0,0,0,0,0
20.2,1,26368.0,1,6.52,86.2,1,23.3,0,0,6.4,2.89,2.65,0,0,1,0,1,0,0,0,0,0,0
19.5,0,25000.0,1,3.41,76.5,2,18.2,1,0,7.0,2.28,2.05,0,0,1,0,1,0,0,0,1,0,0
22.3,1,33661.0,1,4.96,73.7,4,27.0,0,0,5.9,2.16,2.47,1,0,0,1,1,0,0,0,0,1,0
23.3,0,25000.0,1,3.1,72.8,0,23.9,0,1,4.2,0.35,0.0,1,0,0,0,1,0,0,0,0,0,0
23.0,0,35396.0,1,1.35,74.5,0,31.1,1,1,6.7,0.68,0.93,1,0,0,0,0,0,0,1,1,0,0
19.2,0,56894.0,1,4.34,76.4,1,15.6,0,0,3.3,2.64,2.68,0,0,0,1,0,0,0,1,0,0,0
20.3,0,77162.0,1,4.16,91.3,3,28.2,0,1,3.5,2.09,2.57,0,0,0,1,0,0,1,0,0,0,0
